 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
140,2343,262.007,81.154,12,65,22.457,55.028
141,2341,262.007,81.302,15,29,148.069,55.563
142,2342,259.765,81.302,15,70,31.931,54.703
143,2341,259.765,81.216,18,75,37.999,55.277
144,2346,262.593,81.216,25,18,127.999,55.408
145,2346,261.765,81.154,33,13,112.457,55.158
146,2341,260.593,81.345,22,20,133.506,55.097
147,2338,259.765,81.043,12,37,164.249,54.181
148,2344,262.593,81.216,24,18,127.999,55.758
149,2345,260.593,81.154,34,13,112.457,54.928
150,2341,259.765,81.216,26,17,127.999,55.041
151,2342,260.593,81.154,12,35,157.543,54.813
152,2349,259.179,81.302,15,29,148.069,54.498
153,2344,259.179,81.216,25,18,127.999,55.093
154,2349,263.179,81.154,36,88,67.543,55.169
155,2339,262.593,81.123,29,15,120.358,55.700
156,2345,259.765,81.216,18,75,37.999,54.966
157,2347,258.593,81.154,36,88,67.543,54.227
158,2352,259.765,81.154,12,65,22.457,54.558
159,2342,260.593,81.302,28,84,58.069,55.142
160,2336,262.350,81.345,20,77,43.506,55.137
161,2337,257.765,81.216,18,75,37.999,54.352
162,2338,259.765,81.302,29,15,121.931,55.041
163,2347,260.593,81.154,12,35,157.543,55.266
164,2335,260.007,81.216,25,18,127.999,54.671
165,2346,259.765,81.302,16,28,148.069,55.065
166,2343,260.593,81.154,13,34,157.543,54.863
167,2341,262.007,81.216,26,17,127.999,55.617
168,2346,263.421,81.216,18,75,37.999,55.407
169,2339,259.765,81.216,18,75,37.999,54.646
170,2342,261.179,81.043,11,40,164.249,54.632
171,2342,262.593,81.154,13,33,157.543,55.238
172,2346,259.179,81.154,32,87,67.543,54.536
173,2336,262.007,81.271,27,16,124.472,55.375
174,2340,260.007,81.216,19,23,142.001,55.001
175,2346,261.179,81.302,28,16,121.931,54.862
176,2348,262.593,81.271,28,16,124.472,55.378
177,2345,261.179,81.154,34,87,67.543,54.822
178,2339,261.179,81.043,40,89,74.249,54.563
179,2345,260.593,81.271,28,16,124.472,54.928
180,2338,260.007,81.216,18,75,37.999,54.671
181,2338,261.179,81.056,19,23,141.009,55.024
182,2347,261.179,81.271,16,28,145.528,55.146
183,2339,260.593,81.154,35,12,112.457,55.092
184,2336,260.350,81.216,25,18,127.999,55.058
185,2344,263.179,81.043,11,40,164.249,55.050
186,2345,258.936,81.394,23,20,132.510,54.513
187,2351,261.179,81.216,18,75,37.999,55.063
188,2340,261.179,81.271,27,16,124.472,55.536
189,2340,260.007,81.043,38,89,74.249,54.776
190,2339,258.936,81.302,29,15,121.931,54.578
191,2335,259.522,81.345,22,79,46.494,54.626
192,2345,259.179,81.049,45,10,99.230,54.496
193,2337,259.179,81.271,27,16,124.472,54.818
194,2342,262.593,81.216,24,19,127.999,55.610
195,2344,262.007,81.345,20,78,43.506,55.222
196,2343,262.007,81.216,18,75,37.999,55.375
197,2343,260.593,81.216,25,18,127.999,54.928
198,2343,262.593,81.345,22,20,133.506,55.432
199,2340,261.179,81.302,16,72,31.931,54.826
200,2345,259.765,81.049,10,43,170.770,54.790
201,2343,261.765,81.154,34,13,112.457,54.820
202,2347,261.179,81.154,12,35,157.543,55.510
203,2345,264.007,81.345,22,20,133.506,56.008
204,2344,262.350,81.123,14,69,30.358,55.309
205,2341,262.350,81.049,10,42,170.770,54.617
206,2349,261.765,81.154,33,87,67.543,55.200
207,2344,261.179,81.216,18,25,142.001,55.246
208,2341,259.765,81.154,13,67,22.457,54.714
209,2341,261.765,81.123,30,85,59.642,55.475
210,2344,261.179,81.302,28,84,58.069,55.024
211,2345,261.179,81.154,12,35,157.543,55.009
212,2346,263.765,81.394,23,20,132.510,55.677
213,2352,262.007,81.302,28,84,58.069,55.542
214,2344,258.350,81.216,18,26,142.001,54.652
215,2349,262.593,81.302,15,29,148.069,55.334
216,2345,258.350,81.123,15,70,30.358,54.521
217,2340,263.179,81.123,15,71,30.358,55.610
218,2336,263.179,81.154,35,88,67.543,55.326
219,2345,261.179,81.271,16,73,34.472,55.100
220,2339,261.179,81.154,12,35,157.543,55.024
221,2350,261.179,81.154,35,12,112.457,55.027
222,2342,262.007,81.216,25,18,127.999,55.495
223,2338,259.765,81.043,11,38,164.249,54.196
224,2344,260.350,81.302,15,71,31.931,55.133
225,2350,260.593,81.123,31,14,120.358,54.875
226,2341,261.179,81.043,40,89,74.249,54.822
227,2336,260.593,81.043,11,40,164.249,54.713
228,2346,262.007,81.302,15,29,148.069,55.219
229,2344,260.593,81.216,18,76,37.999,55.108
230,2341,262.007,81.043,37,88,74.249,55.000
231,2345,261.421,81.302,16,72,31.931,54.923
232,2342,261.765,81.271,16,73,34.472,55.213
233,2346,264.007,81.216,18,26,142.001,55.794
234,2341,262.007,81.271,27,83,55.528,55.239
235,2337,261.179,81.216,18,24,142.001,55.183
236,2344,261.179,81.216,18,25,142.001,54.815
237,2339,261.765,81.216,25,82,52.001,55.137
238,2338,258.350,81.216,26,17,127.999,54.560
