Radius	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 59.850	11252.803	  5.880	394.839	  0.666	375.970	  1.032	375.997	  0.632
 59.900	11272.577	  6.099	395.271	  0.580	376.422	  0.845	376.407	  0.550
 59.950	11290.839	  5.928	395.555	  0.524	376.701	  0.634	376.676	  0.497
 60.000	11309.713	  5.431	395.888	  0.388	376.983	  0.111	376.991	  0.368
 60.050	11328.300	  4.970	396.217	  0.471	377.323	  0.697	377.303	  0.446
 60.100	11347.350	  4.228	396.545	  0.481	377.624	  0.887	377.614	  0.456
 60.150	11366.273	  3.631	396.881	  0.601	377.945	  1.024	377.933	  0.570
 60.200	11385.212	  3.990	397.207	  0.661	378.243	  1.095	378.242	  0.626
 60.250	11403.728	  5.019	397.511	  0.700	378.466	  1.124	378.530	  0.664
 60.300	11422.979	  6.013	397.837	  0.712	378.826	  1.070	378.840	  0.675
 60.350	11442.214	  6.753	398.193	  0.665	379.192	  0.977	379.177	  0.631
 60.400	11461.105	  6.580	398.527	  0.563	379.495	  0.877	379.494	  0.534
 60.450	11479.769	  5.847	398.842	  0.389	379.778	  0.687	379.792	  0.369
 60.500	11498.853	  5.028	399.193	  0.269	380.128	  0.086	380.125	  0.255
 60.550	11517.993	  4.190	399.534	  0.529	380.445	  0.666	380.448	  0.501
 60.600	11537.131	  3.396	399.873	  0.604	380.800	  0.895	380.769	  0.573
 60.650	11556.108	  4.095	400.184	  0.679	381.039	  0.999	381.064	  0.644
 60.700	11575.210	  5.130	400.522	  0.686	381.347	  1.054	381.385	  0.650
 60.750	11594.463	  5.683	400.879	  0.657	381.766	  1.101	381.723	  0.623
 60.800	11613.093	  6.199	401.169	  0.576	381.985	  1.074	381.999	  0.546
 60.850	11632.587	  5.778	401.518	  0.589	382.341	  1.025	382.329	  0.558
 60.900	11651.624	  5.827	401.875	  0.593	382.682	  0.871	382.668	  0.562
 60.950	11670.910	  6.136	402.179	  0.546	382.948	  0.668	382.956	  0.518
 61.000	11689.886	  5.663	402.517	  0.404	383.273	  0.050	383.276	  0.383
 61.050	11709.279	  4.581	402.878	  0.528	383.595	  0.671	383.618	  0.500
 61.100	11728.032	  4.133	403.159	  0.540	383.885	  0.866	383.885	  0.512
 61.150	11747.366	  4.426	403.497	  0.557	384.206	  0.998	384.205	  0.528
 61.200	11766.799	  4.450	403.840	  0.630	384.536	  1.107	384.531	  0.597
 61.250	11785.594	  4.990	404.142	  0.702	384.773	  1.102	384.817	  0.666
 61.300	11804.778	  5.617	404.452	  0.731	385.078	  1.102	385.111	  0.693
 61.350	11824.331	  6.135	404.814	  0.692	385.458	  1.033	385.454	  0.656
 61.400	11843.518	  6.861	405.140	  0.641	385.777	  0.913	385.763	  0.608
 61.450	11862.925	  6.548	405.473	  0.486	386.044	  0.708	386.079	  0.461
 61.500	11881.791	  5.760	405.813	  0.212	386.410	  0.099	386.401	  0.201
 61.550	11901.819	  3.633	406.151	  0.404	386.728	  0.651	386.721	  0.383
 61.600	11920.912	  3.163	406.492	  0.597	387.050	  0.904	387.045	  0.566
 61.650	11940.530	  4.261	406.828	  0.709	387.363	  1.056	387.363	  0.673
 61.700	11959.714	  4.793	407.123	  0.700	387.666	  1.071	387.643	  0.664
 61.750	11979.022	  5.416	407.484	  0.724	387.973	  1.132	387.985	  0.686
 61.800	11998.570	  6.108	407.805	  0.666	388.323	  1.059	388.290	  0.632
 61.850	12017.696	  6.483	408.118	  0.589	388.601	  1.014	388.586	  0.558
 61.900	12037.522	  6.374	408.482	  0.504	388.932	  0.874	388.932	  0.478
 61.950	12056.769	  5.997	408.815	  0.493	389.251	  0.665	389.247	  0.467
 62.000	12076.356	  4.767	409.145	  0.397	389.553	  0.086	389.560	  0.376
 62.050	12095.655	  4.290	409.465	  0.555	389.872	  0.652	389.863	  0.526
 62.100	12115.345	  4.555	409.759	  0.620	390.137	  0.859	390.142	  0.588
 62.150	12134.705	  4.753	410.158	  0.646	390.580	  1.086	390.520	  0.612
 62.200	12154.237	  4.549	410.472	  0.631	390.836	  1.139	390.818	  0.598
 62.250	12173.764	  5.069	410.782	  0.641	391.086	  1.120	391.111	  0.608
 62.300	12193.515	  5.418	411.122	  0.651	391.455	  1.069	391.434	  0.617
 62.350	12213.225	  6.286	411.471	  0.678	391.791	  1.009	391.765	  0.643
 62.400	12232.656	  6.304	411.798	  0.621	392.071	  0.908	392.075	  0.589
 62.450	12252.311	  6.094	412.140	  0.519	392.410	  0.644	392.399	  0.492
