Angle	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
 20.000	  0.005	  0.044	 -0.080	  0.100	  7.396	  0.146	  6.937	  7.790	  0.422	  0.194	 -0.254	  0.531	  2.185	  0.109	  1.799	  2.469
 20.500	  0.001	  0.016	 -0.040	  0.040	  7.440	  0.266	  7.058	  7.912	  0.828	  0.292	  0.531	  1.316	  2.225	  0.208	  1.914	  2.584
 21.000	  0.000	  0.010	 -0.020	  0.030	  7.457	  0.137	  7.119	  7.619	  1.209	  0.175	  0.924	  1.316	  2.246	  0.097	  1.972	  2.307
 21.500	  0.000	  0.016	 -0.060	  0.030	  7.463	  0.208	  7.179	  7.826	  1.579	  0.195	  1.316	  2.102	  2.254	  0.166	  2.029	  2.503
 22.000	  0.000	  0.013	 -0.030	  0.040	  7.489	  0.237	  6.887	  7.947	  1.972	  0.271	  1.316	  2.494	  2.275	  0.201	  1.751	  2.618
 22.500	  0.000	  0.010	 -0.030	  0.030	  7.516	  0.327	  7.008	  8.154	  2.355	  0.298	  2.102	  2.887	  2.297	  0.272	  1.866	  2.814
 23.000	 -0.000	  0.013	 -0.030	  0.030	  7.495	  0.173	  7.215	  8.569	  2.712	  0.203	  2.494	  3.673	  2.284	  0.137	  2.063	  3.207
 23.500	  0.000	  0.004	 -0.020	  0.010	  7.484	  0.197	  7.276	  7.983	  3.059	  0.230	  2.887	  3.673	  2.272	  0.157	  2.120	  2.652
 24.000	 -0.000	  0.014	 -0.030	  0.040	  7.462	  0.258	  6.836	  7.836	  3.396	  0.235	  2.887	  3.673	  2.244	  0.219	  1.704	  2.652
 24.500	 -0.000	  0.011	 -0.030	  0.030	  7.431	  0.267	  6.836	  7.897	  3.734	  0.265	  2.887	  4.065	  2.219	  0.230	  1.704	  2.570
 25.000	 -0.000	  0.021	 -0.040	  0.060	  7.410	  0.332	  6.958	  7.811	  4.080	  0.361	  3.673	  4.458	  2.195	  0.278	  1.819	  2.489
 25.500	 -0.001	  0.014	 -0.030	  0.040	  7.359	  0.248	  7.018	  8.225	  4.392	  0.258	  4.065	  5.243	  2.145	  0.206	  1.876	  2.882
 26.000	  0.001	  0.026	 -0.080	  0.040	  7.316	  0.200	  6.933	  7.640	  4.716	  0.211	  4.458	  5.243	  2.104	  0.166	  1.795	  2.326
 26.500	  0.002	  0.245	 -0.550	  0.360	  7.241	  0.252	  6.493	  7.640	  5.012	  0.252	  4.458	  5.243	  2.034	  0.217	  1.378	  2.326
 27.000	 -0.002	  0.043	 -0.080	  0.100	  7.174	  0.209	  6.493	  7.554	  5.314	  0.184	  4.458	  5.636	  1.972	  0.175	  1.378	  2.245
 27.500	 -0.000	  0.024	 -0.060	  0.060	  7.109	  0.258	  6.614	  7.468	  5.601	  0.318	  5.243	  6.029	  1.905	  0.193	  1.493	  2.164
 28.000	 -0.000	  0.017	 -0.040	  0.050	  7.033	  0.172	  6.822	  7.529	  5.903	  0.219	  5.636	  6.421	  1.832	  0.130	  1.690	  2.221
 28.500	  0.000	  0.018	 -0.050	  0.060	  6.947	  0.225	  6.322	  7.382	  6.180	  0.209	  5.243	  6.421	  1.748	  0.176	  1.216	  2.082
 29.000	 -0.000	  0.012	 -0.030	  0.030	  6.826	  0.286	  6.443	  7.296	  6.425	  0.303	  6.029	  6.814	  1.635	  0.238	  1.331	  2.001
 29.500	  0.000	  0.010	 -0.020	  0.040	  6.724	  0.159	  6.150	  7.004	  6.699	  0.181	  6.029	  6.814	  1.539	  0.131	  1.053	  1.723
 30.000	 -0.000	  0.010	 -0.030	  0.030	  6.610	  0.215	  6.064	  7.125	  6.945	  0.235	  6.421	  7.600	  1.429	  0.168	  0.972	  1.838
 30.500	 -0.000	  0.010	 -0.020	  0.030	  6.498	  0.174	  5.978	  6.832	  7.194	  0.128	  6.814	  7.600	  1.318	  0.132	  0.890	  1.561
 31.000	 -0.000	  0.029	 -0.040	  0.070	  6.359	  0.238	  5.978	  6.893	  7.425	  0.336	  6.814	  7.992	  1.188	  0.184	  0.890	  1.618
